Год,Выпуск,Первая страница,Всего страниц,Название,Рубрика,Авторы,Художники,Дополнительно,Броская фраза,входит в сэмпл?,теги,ответы,сложность
2014,11,27,4,"Ответы, указания, решения",Ответы,,,,,,,,
2014,11,31,3,Наш конкурс,Олимпиады,,Николай Крутиков,,"Конкурс закончен, но мы проводим дополнительный тур!",,,,
2014,11,34,1,Перелёт «Пекин–Оттава»,Задачи в картинках,,Максим Калякин,,,,"география, стереометрия",,
2014,10,-1,1,Обложка,,,Елена Цветаева,,,,,,
2014,10,2,6,Из жизни маятников,Оглянись вокруг,Вера Башмакова ; Александр Доброчаев,Ольга Демидова,,Как зависит период колебания маятника от его длины?,,физика,,
2014,10,8,1,Касательные и радиусы,Задачи в картинках,Александр Бердников,Евгений Паненко,,,,физика,,
2014,10,9,3,Гороховый конструктор,Своими руками,{ Подготовил по материалам кружка Жени Кац : Григорий Фельдман },Артём Костюкевич,,"Об одном способе, как собрать многогранник своими руками.",,стереометрия,,
2014,10,12,4,Дайте Пушкину сдачи,Улыбнись,Борис Дружинин,Елена Цветаева,,,,логика,,
2014,10,16,2,Сосуды с секретом,Четыре задачи,{ Материал подготовил : Григорий Фельдман },Анна Горлач,,Разгадай секрет сосуда!,,"физика, смекалка",,
2014,10,18,2,"Гайдар, Эйнштейн и Есенин",Две трети правды,Сергей Федин,Капыч,,,,,,
2014,10,20,5,Коза на привязи,Наглядная математика,В. Крупский ; А. Орлов,Ануш Микаелян,,Какие фигуры на поле с травой может выедать коза на привязи?,,планиметрия,,
2014,10,25,3,XX турнир математических боёв имени А.П.Савина,Олимпиады,Александр Шаповалов,Сергей Чуб,,,,,,
2014,10,28,4,"Ответы, указания, решения",Ответы,,,,,,,,
2014,10,32,2,Наш конкурс,Олимпиады,{ 49 : Игорь Акулич },Инга Коржнева,,,,,,
2014,10,34,1,Круг и дырка,Задачи в картинках,,Tory Polska,,Может ли твёрдый диск пролезть в круглую дырку меньшего размера?,,смекалка,,
2014,9,-1,1,Обложка,,,Евгений Паненко,,,,,,
2014,9,2,6,Пахнет ли морковный отвар?,Оглянись вокруг,Вера Башмакова ; Александр Доброчаев,Ольга Демидова,,Есть ли запах у морковного отвара: увлекательная история домашнего эксперимента,,"статистика, вероятность",,
2014,9,8,4,О книге с большой буквы,Математические сюрпризы,Андрей Щетников,Ануш Микаелян,,"О Книге с большой буквы: доказательство, ставшее образцом для математиков",,планиметрия,,
2014,9,12,1,Тени,Задачи в картинках,Александр Бердников,Евгений Паненко,Фото: нет ссылок,,,физика,,
2014,9,13,3,Удачный гороскоп,Детективные истории,Борис Дружинин,Екатерина Ладатко,,,,,,
2014,9,16,2,"Кэрролл, Менделеев и Хемингуэй",Две трети правды,Сергей Федин,Капыч,,,,,,
2014,9,18,5,Как Бусенька училась умножать на 11,Математические сказки,Дмитрий Кохась ; Константин Кохась,Полина Царёва,,Как Бусенька училась умножать на 11: странные арифметические пристрастия монстропитеков,,арифметика,,
2014,9,23,3,Пипета,Своими руками,Александр Бердников,Артём Костюкевич,Фото: Лидия Широнина,"Дырка, через которую не вытекает вода: невероятные опыты своими руками!",,физика,,
2014,9,26,2,"Старейший, известнейший опыт",Нам пишут,Михаил Старшов,Артём Костюкевич,Фото: нет ссылок,,,физика,,
2014,9,28,1,Портрет,Математические сюрпризы,Наташа Рожковская,Евгения Голубева,,,,логика,,
2014,9,29,1,Русский медвежонок,Олимпиады,{ Материал подготовил : Илья Иткин },Сергей Чуб,,,,,,
2014,9,30,2,"Ответы, указания, решения",Ответы,,,,,,,,
2014,9,32,2,Наш конкурс,Олимпиады,{ 44 : Агнис Анджанс },Инга Коржнева,,,,,,
2014,9,34,1,Две змеи,Задачи в картинках,{ По мотивам задачи из книги Германа Левитаса :  },Tory Polska,,,,смекалка,,
2014,9,,,,,,,,"И много всего интересного и очень интересного: задачные конкурсы, логические детективы, задачи в картинках... Читайте скорее!",,,,
2014,8,-1,1,Обложка,,,Анастасия Мошина,,,,,,
2014,8,2,3,Объяснение опыта 5,Четыре стихии Эмпедокла,,Артём Костюкевич,,,,физика,,
2014,8,4,1,Опыт 6,Четыре стихии Эмпедокла,,Артём Костюкевич,,,,физика,,
2014,8,5,3,Как железные чернила спасли рукопись Архимеда,Преданья старины,,Александра Будилкина,,"О том, как с помощью рентгеновских лучей прочли утраченную рукопись Архимеда.",,химия,,
2014,8,8,3,Как выглядит «среднестатистический слон»?,Оглянись вокруг,Глеб Погудин ; Екатерина Антоненко,Ольга Демидова,,"Ложь, наглая ложь или статистика? Как правильно делать выводы по данным опроса.",,статистика,,
2014,8,11,3,Мыльные пузыри и хорды,Смотри!,Александр Шень,Максим Калякин,Фото: Александр Бердников,Решаем планиметрическую задачу с помощью мыльных пузырей.,,"физика, стереометрия",,
2014,8,14,2,"Оноре де Бальзак, Уолт Дисней, Марк Твен",Две трети правды,Сергей Федин,Капыч,,,,,,
2014,8,16,2,Лампочки,Четыре задачи,Борис Дружинин,Анна Горлач,,"В рубрике ""Четыре задачи"": лампочки и переключатели.",,"логика, смекалка, физика",,
2014,8,18,2,Девочка с голубыми волосами,Детективные истории,Борис Дружинин,Екатерина Ладатко,,,,,,
2014,8,20,2,Процарапанная голограмма,Опыты и эксперименты,Вячеслав Чернов ; Андрей Щетников,Евгений Паненко,Фото: нет ссылок,Как сделать голограмму дома.,,"физика, стереометрия",,
2014,8,22,3,Как Бусенька умножала на 5,Математические сказки,Константин Кохась ; Анна Могилева,Полина Царёва,,Бусенька знакомится с системами счисления.,,арифметика,,
2014,8,25,3,Избранные задачи конкурса «Кенгуру»,Олимпиады,{ Материал подготовил : Дмитрий Максимов },Сергей Чуб,,,,,,
2014,8,28,4,"Ответы, указания, решения",Ответы,,,,,,,,
2014,8,32,2,Наш конкурс,Олимпиады,{ 38 : Андрей Меньщиков } ; { 40 : Владимир Ковальджи },Инга Коржнева,,,,,,
2014,8,34,1,Пугала в огороде,Задачи в картинках,,Елена Цветаева,,"Задача-картинка: как расставить пугала, что испугать всех ворон?",,планиметрия,,
2014,8,,,,,,,,[Материалы к номеру 8.](/issue/extras/materials_2014_08.html),,,,
2014,7,-1,1,Обложка,,,Ольга Демидова,,,,,,
2014,7,2,5,"Сол Ле Bитт: художник, который любил перебирать все случаи",Наши современники,Наташа Рожковская,Наталья Гаврилова,"Фото: Bava Alcide57, Викимедия","Сол Ле Витт: художник, который любил перебирать все случаи.",,"иллюзии, стереометрия",,
2014,7,7,1,Угадай город,Задачи в картинках,Георгий Жуков,Евгений Паненко,,Угадай город!,,"смекалка, география",,
2014,7,8,3,Объяснение опыта 4,Четыре стихии Эмпедокла,,Артём Костюкевич,,,,физика,,
2014,7,10,1,Опыт 5,Четыре стихии Эмпедокла,,Артём Костюкевич,,,,физика,,
2014,7,11,3,Прогулка с лингвистом,Чудеса лингвистики,Вероника Юрченко,Евгения Голубева,,"Что общего у улицы, улья и улитки?",,,,
2014,7,14,2,Морской разговор,Улыбнись,Константин Кохась ; Анна Могилева,Максим Калякин,,Задача о морском манёвре.,,"планиметрия, комикс",,
2014,7,16,2,Чаепитие в парке,Детективные истории,Борис Дружинин,Евгения Константинова,,,,,,
2014,7,18,2,Знакомьтесь: двенадцатиугольник!,Смотри!,{ По материалам кружка Дмитрия Калинина :  },Татьяна Ахметгалиева,,Полезное разрезание двенадцатиугольника.,,"планиметрия, комбигеом",,
2014,7,20,4,Скандал давно минувших дней,Великие умы,Борис Дружинин,,Фото: нет автора,Об истории открытия формулы Кардано.,,алгебра,,
2014,7,24,3,Фокус-покус,Оглянись вокруг,Игорь Акулич,Анастасия Мошина,,,,арифметика,,
2014,7,27,1,Квадрат в конверте,Игры и головоломки,{ Материал подготовил : Григорий Фельдман },Tory Polska,,"Интересная головоломка, которую просто сделать своими руками.",,"комбигеом, смекалка",,
2014,7,28,1,Русский медвежонок,Олимпиады,{ Материал подготовил : Илья Иткин },Леонид Гамарц,,,,,,
2014,7,29,3,"Ответы, указания, решения",Ответы,,,,,,,,
2014,7,32,2,Наш конкурс,Олимпиады,,Сергей Чуб,,,,,,
2014,7,34,1,Два конверта,Комикс,,Дарья Котова,,,,логика,,
2014,7,,,,,,,,[Материалы к номеру 7.](/issue/extras/materials_2014_07.html),,,,
2014,6,-1,1,Обложка,,,Максим Калякин,,,,,,
2014,6,2,2,Робот в лабиринте,Математический кружок,Максим Прасолов,Евгений Паненко,,"Как вывести радиоуправляемого робота из лабиринта, который мы не знаем и не видим?",,логика,,
2014,6,4,2,Объяснение опыта 3,Четыре стихии Эмпедокла,Константин Богданов,Артём Костюкевич,,Почему поют бокалы?,,физика,,
2014,6,5,1,Опыт 4,Четыре стихии Эмпедокла,Константин Богданов,Артём Костюкевич,,,,физика,,
2014,6,6,4,Лошадь не ест салата из огурцов,Великие умы,Борис Дружинин,,"Фото:  Викимедия, Travok3, Фото: Викимедия, James Michael DuPont; Фото: Викимедия, Geez-oz; Фото: Викимедия, Travok3; Фото: Викимедия, James  Michael DuPont",Телефон: долгий путь от открытия до работающей модели.,,физика,,
2014,6,10,2,Куб из ниоткуда,Смотри!,Григорий Фельдман,Ольга Демидова,,Куб в задаче про окружности.,,"планиметрия, стереометрия",,
2014,6,12,4,Журчалки,Оглянись вокруг,Сергей Лысенков,Yustas-07,Фото: автора и Юлии Сычевой,Журчалки: когда полезно быть похожим на другого.,,биология,,
2014,6,16,2,Стоп-головоломка,Игры и головоломки,Владимир Красноухов,Анастасия Мошина,,"Интересная головоломка, которую просто сделать своими руками.",,комбигеом,,
2014,6,18,1,Летняя зоолого-ботаническая школа,Куда поехать летом?,{ Материал подготовил : Григорий Мерцалов },Евгения Голубева,,,,биология,,
2014,6,19,1,Диск с грузом,Опыты и эксперименты,Александр Северинов ; Никита Грушецкий ; Андрей Щетников,Tory Polska,,,,физика,,
2014,6,20,4,Рэндзю: атака чёрными,Игры и головоломки,Дмитрий Епифанов,Евгения Константинова,,Рэндзю: атака чёрными.,,игры,,
2014,6,24,2,XXV Математический праздник,Олимпиады,,Сергей Чуб,,,,,,
2014,6,26,2,XXXV Турнир городов,Олимпиады,,Сергей Чуб,,,,,,
2014,6,28,4,"Ответы, указания, решения",Ответы,,,,,,,,
2014,6,32,2,Наш конкурс,Олимпиады,{26 : Саша Иванов ; Борис Дружинин } ; { 27 : М. Мамикон } ; { 30 : Егор Бакаев },Леонид Гамарц,,,,,,
2014,6,34,1,Как повесить картину?,Задачи в картинках,,Наталья Гаврилова,,,,топология,,
2014,6,,,,,,,,[Материалы к номеру 6.](/issue/extras/materials_2014_06.html),,,,
2014,5,-1,1,Обложка,,,Евгений Паненко,,,,,,
2014,5,2,4,Новые приключения Буратино,Математические сказки,Сергей Дворянинов,Анна Горлач,,,,планиметрия,,
2014,5,6,3,Объяснение опытов 1 и 2,Четыре стихии Эмпедокла,Константин Богданов,Артём Костюкевич,,"Новые опыты из рубрики ""Четыре стихии Эмпедокла""! А также объяснения предыдущих.",,физика,,
2014,5,9,1,Опыт 3,Четыре стихии Эмпедокла,Константин Богданов,Артём Костюкевич,,,,физика,,
2014,5,10,4,Стрелки продолжают возвращаться,Оглянись вокруг,Игорь Акулич,Алие Аблямитова,,Стрелки продолжают возвращаться! Федя рассказывает Дане своё решение.,,стрелки,,
2014,5,14,2,«Завязываем» правильные многоугольники,Своими руками,Александр Бердников ; Максим Прасолов ; Григорий Фельдман,Сергей Чуб,,«Завязываем» правильные многоугольники!,,комбигеом,,
2014,5,16,2,Дождь в Люксембурге,Детективные истории,Борис Дружинин,Александра Будилкина,,,,,,
2014,5,18,3,Тенсегрити,Своими руками,Максим Прасолов,Анна Берналь,"Фото: Саку Такакусаки, викимедия;  Фото: TensegrityWiki, flickr.com; Фото: Садао Хотта; Фото: Elver, flickr.com",Тенсегрити: легко и прочно.,,физика,,
2014,5,21,1,Двойной выхлоп. Призрачные узоры,Задачи в картинках,Александр Бердников,Максим Акульшин,,,,"физика, смекалка",,
2014,5,22,5,"Ночные кровопийцы, кудряшки и подводные лодки",Оглянись вокруг,Григорий Мерцалов,Татьяна Масакова,Фото: нет ссылок,Кто определяет форму предмета с помощью звука?,,биология,,
2014,5,27,1,Дуга из пикселей,Задачи в картинках,,Наталья Гаврилова,,,,комбигеом,,
2014,5,28,2,Облако отплыло одиноко,Словечки,Сергей Федин,Сергей Чуб,,,,,,
2014,5,30,2,"Ответы, указания, решения",Ответы,,,,,,,,
2014,5,32,2,Наш конкурс,Олимпиады,{ 23 : Георгий Жуков } ; { 24 : Александр Ковальджи },Леонид Гамарц,,,,,,
2014,5,34,1,«Невыносимая» мебель,Задачи в картинках,Егор Бакаев,Максим Калякин,,"Предмет не пролезает через окно. Может ли он пролезть, если прикрыть окно?",,комбигеом,,
2014,5,,,,,,,,[Материалы к номеру 5.](/issue/extras/materials_2014_05.html),,,,
2014,4,-1,1,Обложка,,,Анна Горлач,,,,,,
2014,4,2,1,Опыт 1. Любит ли лист бумаги бокал с водой?,Четыре стихии Эмпедокла,Константин Богданов,Артём Костюкевич,,"Новая рубрика ""Четыре стихии Эмпедокла""! Ждём ваших объяснений опытов.",,физика,,
2014,4,3,1,Опыт 2. Почему спичка ненавидит мыло?,Четыре стихии Эмпедокла,Константин Богданов,Артём Костюкевич,,,,физика,,
2014,4,4,4,Стрелки возвращаются,Оглянись вокруг,Игорь Акулич,Алие Аблямитова,,Стрелки возвращаются! Федя и Даня решают новые задачки.,,стрелки,,
2014,4,8,1,Жёсткая конструкция,Своими руками,Максим Прасолов,Анастасия Мошина,,"Можно ли из верёвок и трёх палок сделать жёсткую конструкцию, если палки не должны касаться?",,физика,,
2014,4,9,3,Лев Термен: не более и не менее,Великие умы,Светлана Ковалёва,,"Фото: Brian McNamarra, www.flickr.com; Bernd Hutschenreuther, википедия, Фото: нет ссылок",,,музыка,,
2014,4,12,2,Почему птицы не глохнут?,Как это устроено,Александр Бердников,Ольга Демидова,,"Почему чужой крик может оглушить, а свой - нет?",,биология,,
2014,4,14,2,Центр тяжести,Оглянись вокруг,Сергей Дворянинов,Татьяна Ахметгалиева,,,,физика,,
2014,4,16,2,Механизмы,Задачи в картинках,{ Автор и художник : Yustas-07 } ; { Задачи выбирали : Александр Бердников ; Григорий Фельдман},Yustas-07,,Тест на механическое мышление.,,"логика, физика",,
2014,4,18,4,Рэндзю,Игры и головоломки,Дмитрий Епифанов,Евгения Константинова,,Всё ли вы знаете про крестики-нолики?,,игры,,
2014,4,22,2,Удар по дисциплине,Детективные истории,Борис Дружинин,Наталья Гаврилова,,Детектив от Дружинина.,,смекалка,,
2014,4,24,5,Санкт-Петербургская олимпиада,Олимпиады,Константин Кохась,Сергей Чуб,,,,,,
2014,4,29,1,Кружка в микроволновке,Задачи в картинках,,Александра Будилкина,,,,смекалка,,
2014,4,30,2,"Ответы, указания, решения",Ответы,,,,,,,,
2014,4,32,2,Наш конкурс,Олимпиады,{ 18 : Сергей Дориченко },Леонид Гамарц,,,,,,
2014,4,34,1,Половина или нет?,Комикс,Глеб Погудин,Анастасия Васильева,,,,смекалка,,
2014,4,,,,,,,,[Материалы к номеру 4.](/issue/extras/materials_2014_04.html),,,,
2014,3,-1,1,Обложка,,,Александра Будилкина,,,,,,
2014,3,2,3,Винтовая линия,Своими руками,Сергей Дворянинов,Артём Костюкевич,,В какую сторону закручивали винтовую лестницу в военных башнях и почему?,,"смекалка, физика",,
2014,3,5,5,Лев Термен,Великие умы,Светлана Ковалёва,,Фото: нет ссылок,,,музыка,,
2014,3,10,2,Разрезания шестиугольника на бантики,Смотри!,Максим Прасолов,Анна Горлач,,Смотри!,,комбигеом,,
2014,3,12,4,Лесные пожары в тридевятом царстве,Оглянись вокруг,Иван Кобиляков,Виктор Пяткин,,Окончание приключений Ивана-дурачка в дремучем лесу.,,биология,,
2014,3,16,2,Предельный случай,Смотри!,Григорий Фельдман,Сергей Чуб,,,,планиметрия,,
2014,3,18,3,Переправы от Шаповаловых,Математический кружок,Александр Шаповалов,Ольга Демидова,,Много задач на переправы.,,"задачи, логика",,
2014,3,21,3,Сонная луната,Словечки,Сергей Федин,Анастасия Мошина,,"О том, как могут бутаться пуквы.",,,,
2014,3,24,3,Симметрия,Странички для маленьких,Наташа Рожковская,Наталья Гаврилова,,,,"комбигеом, отражения",,
2014,3,27,1,Русский медвежонок,Олимпиады,{ Материал подготовил : Илья Иткин },Ольга Московка,,"Олимпиада ""Русский медвежонок"".",,,,
2014,3,28,4,"Ответы, указания, решения",Ответы,,,,,,,,
2014,3,32,2,Наш конкурс,Олимпиады,{ 11 : Григорий Гальперин } ; { 12 : Александр Ковальджи },Леонид Гамарц,,,,,,
2014,3,34,1,Торт с глазурью,Задачи в картинках,,Евгения Константинова,,,,планиметрия,,
2014,2,-1,1,Обложка,,,Евгения Константинова,,,,,,
2014,2,2,2,Муравьи на палке,Математический кружок,Максим Прасолов,Анна Горлач,,,,задачи,,
2014,2,4,4,Лесные пожары в тридевятом царстве,Оглянись вокруг,Иван Кобиляков,Виктор Пяткин,,,,биология,,
2014,2,8,2,"Этот левый, правый мир",Оглянись вокруг,Сергей Дворянинов,Ольга Демидова,Картина: нет ссылок,,,смекалка,,
2014,2,10,4,Грейс Хоппер,Великие умы,Глеб Погудин,,Фото: нет ссылок,"Грейс Хоппер: ""Мне говорили, что компьютер может только считать"".",,"программирование, информатика",,
2014,2,14,2,Переложите спички,Наглядная математика,Андрей Меньщиков,Ельнура Мурзатаева,,,,"спички, смекалка, арифметика",,
2014,2,16,2,Угадай станцию метро,Четыре задачи,Георгий Жуков,Артём Костюкевич,,Угадай станцию метро!,,смекалка,,
2014,2,18,3,Паучьи лапки,Чудеса лингвистики,Вероника Юрченко,Сергей Чуб,,"О приставке ""па-"" в рубрике ""Чудеса лингвистики"".",,,,
2014,2,21,3,Ракоход,Словечки,Анастасия Челпанова,Анастасия Мошина,,О симметрии в музыке.,,музыка,,
2014,2,24,3,Калейдоскоп,Странички для маленьких,Наташа Рожковская,Наталья Гаврилова,Фото: нет ссылок,"Продолжение рубрики ""Странички для маленьких"".",,"комбигеом, отражения",,
2014,2,27,1,Два ключа,Комикс,Сергей Дворянинов,Виктор Пяткин,,,,смекалка,,
2014,2,28,2,Уральский турнир юных математиков,Олимпиады,Леонид Медников ; Игорь Рубанов,Сергей Чуб,,,,,,
2014,2,30,2,"Ответы, указания, решения",Ответы,,,,,,,,
2014,2,32,2,Наш конкурс,Олимпиады,{ 7 : Борис Френкин },Леонид Гамарц,,,,,,
2014,2,34,1,Гирлянда,Задачи в картинках,Александр Бердников,Александра Будилкина,,"Как всегда, задачи-картинки.",,смекалка,,
2014,1,-1,1,Обложка,,,Евгений Паненко,,,,,,
2014,1,2,3,Дороже золота,Оглянись вокруг,Александр Бердников,Виктор Пяткин,,Удивительный металл платина (который дороже золота).,,химия,,
2014,1,5,1,Ящики для фруктов,Задачи в картинках,Дмитрий Чернышёв,Александра Будилкина,,,,смекалка,,
2014,1,6,4,Зачем нужен сон,Оглянись вокруг,Юлия Кондратенко,Анна Горлач,Фото: нет ссылок,,,биология,,
2014,1,10,2,Как разрезать квадрат?,Смотри!,Григорий Фельдман,Ельнура Мурзатаева,,,,комбигеом,,
2014,1,12,4,Шарадуга слов,Словечки,Сергей Федин,Анастасия Мошина,,"Игры в шарады, шароиды и кубраёчки в рубрике ""Словечки"".",,,,
2014,1,16,2,Математический узор,Смотри!,Сергей Герасимов,Сергей Чуб,,Математический узор с фрактальной структурой (который совсем несложно нарисовать).,,"комбигеом, фракталы",,
2014,1,18,4,Преотличное число,Информатика,Владимир Ильин,Артём Костюкевич,,"Большие числа и Питон (не змея, а язык программирования).",,"информатика, арифметика",,
2014,1,22,3,Приключения с зеркалами,Странички для маленьких,Наташа Рожковская,Наталья Гаврилова,Фото: коллекция Кевина Митчелла,"Новая рубрика ""Странички для маленьких"" и зеркальная симметрия.",,"отражения, планиметрия",,
2014,1,25,2,Т-дразнилка,Своими руками,,Сергей Чуб,,,,комбигеом,,
2014,1,27,1,Дело о непохищенном деле,Комикс,,Дарья Котова,,,,смекалка,,
2014,1,28,2,Турнир им. Ломоносова,Олимпиады,,Леонид Гамарц,,,,,,
2014,1,30,2,"Ответы, указания, решения",Ответы,,,,,,,,
2014,1,32,2,Наш конкурс,Олимпиады,{ 2 : Александр Абрамов } ; { 4 : Андрей Жуков } ; { 5 : Игорь Акулич },Лидия Широнина,,,,,,
2014,1,34,1,Печенье на противне,Задачи в картинках,,Евгения Константинова,,,,планиметрия,,
2014,1,,,,,,,,"И, конечно, много картинок, задачек и ещё уйма интересного!",,,,
2013,12,-1,1,Обложка,,,Евгения Константинова; Yustas-07,,,,,,
2013,12,2,2,История с трафаретом,Математические сюрпризы,Сергей Дворянинов,Виктор Пяткин,,,,физика,,
2013,12,4,3,Поёт морзянка за стеной весёлым дискантом...,Преданья старины,Борис Дружинин,,"Фото: Natalie Maynor, проект Викимедиа; Фото: Johannes Kazah, проект Викимедиа; Фото: Jorge Royan, проект Викимедиа; Фото: Matthew Gordon, проект Викимедиа","азбука Морзе и несколько любопытных историй про телеграфиста Томаса Эдисона (да-да, он был ещё и телеграфистом!).",,коды,,
2013,12,7,3,Про дирижёра,Оглянись вокруг,Анастасия Челпанова,Ольга Демидова,,,,,,
2013,12,10,4,Бумажный итератор,Наглядная математика,Игорь Акулич,Сергей Чуб,,бумажный итератор (что это за зверь?..).,,планиметрия,,
2013,12,14,1,В гостях у сказки,Улыбнись,Игорь Акулич,Виктор Пяткин,,,,арифметика,,
2013,12,15,3,Снежинки,Научная фотография,Александр Бердников,,Фото: http://www.anri.barc.usda.gov/emusnow/default.htm,"снежинки под микроскопом (кстати, какой микроскоп лучше для изучения снежинок?) .",,физика,,
2013,12,18,5,"Три, четырнадцать, пятнадцать...",Словечки,Сергей Федин,Анастасия Мошина,,"стихотворения из чисел и числа из стихотворений в рубрике ""Словечки"".",,,,
2013,12,23,1,Какой номер закрывает припаркованая машина?,Задачи в картинках,,Артём Костюкевич,,,,смекалка,,
2013,12,24,2,Опыты с бумагой,Что почитать?,Александр Воронцов ; Алексей Сгибнев,Татьяна Ахметгалиева,,,,планиметрия,,
2013,12,26,2,Ночь перед Рождеством,Своими руками,Анна Котова,Анна Сарвира,,"Гадания и вызовы духов! Ну, или их математическая сторона...",,топология,,
2013,12,28,1,Тридцать пятый турнир городов,Олимпиады,,Леонид Гамарц,,,,,,
2013,12,29,1,Листовертень,Нам пишут,{ Рисунок прислала : Светлана Коноваленко },Наталья Гаврилова,,,,,,
2013,12,30,2,"Ответы, указания, решения",Ответы,,,,,,,,
2013,12,32,2,Наш конкурс: поздравляем победителей,Олимпиады,,,,,,,,
2013,12,34,1,Где разорвётся верёвочка?,Задачи в картинках,Яков Перельман,Александра Будилкина,,,,физика,,
2013,12,,,,,,,,"А также сказочная математика и, конечно, всевозможные задачки:)",,,,
2013,11,-1,1,Обложка,,,Виктор Пяткин,,,,,,
2013,11,2,5,Стойкие шифры,Математические сюрпризы,Сергей Дориченко,Виктор Пяткин,,"Как зашифровать послание так, чтобы никто посторонний не смог его прочитать.",,криптография,,
2013,11,7,1,Как 'увидеть' инфракрасное излучение?,Опыты и эксперименты,Константин Богданов,Дарья Котова,,"Как «увидеть» невидимое инфракрасное излучение (странно, как вообще можно увидеть невидимое?...).",,физика,,
2013,11,8,3,На всякого мудреца довольно простоты,Нам пишут,Борис Дружинин,Наталья Гаврилова,,,,смекалка,,
2013,11,11,1,Цепь,Задачи в картинках,,Ольга Демидова,,,,,,
2013,11,12,4,Подвиг юного Бертольда,Математические сказки,Анна Котова,Виктор Пяткин,,Как не быть съеденным драконом (иногда это очень насущный вопрос!).,,логика,,
2013,11,16,2,Театр одной буквы,Словечки,Сергей Федин,Анастасия Мошина,Картина: ссылок нет,,,,,
2013,11,18,2,Превращения веществ на службе у изобретателя,Давайте изобретать,Глеб Погудин,Елена Бугренкова,,"Почему важно знать физику, чтобы делать конфеты.",,физика,,
2013,11,20,4,"Врать, ворчать, врачевать",Чудеса лингвистики,Вероника Юрченко,Сергей Чуб,,"Почему врачи на самом деле не врут (и почему можно было бы подумать, что это так:)).",,,,
2013,11,24,2,Человек-магнит,Улыбнись,Сергей Дворянинов,Татьяна Ахметгалиева,,,,физика,,
2013,11,26,2,Неудачи одной цивилизации,Математические сюрпризы,А. Кючуков,Леонид Гамарц,,,,планиметрия,,
2013,11,28,2,Английское ралли,Детективные истории,Борис Дружинин,Артём Костюкевич,,,,,,
2013,11,30,1,Русский медвежонок,Олимпиады,Илья Иткин,Лидия Широнина,,,,,,
2013,11,31,3,"Ответы, указания, решения",Ответы,,,,,,,,
2013,11,34,1,Сцепленные руки,Задачи в картинках,,Юлия Буравлёва,,,,топология,,
2013,11,,,,,,,,И много других интересных вещей!,,,,
2013,10,-1,1,Обложка,,,Yustas-07,,,,,,
2013,10,2,3,Сколько стоит честь ковбоя?,Математические сказки,Александр Бердников,Виктор Пяткин,,Сколько стоит честь ковбоя?,,логика,,
2013,10,5,1,Луч света в тёмном царстве,Улыбнись,Борис Дружинин,Наталья Гаврилова,,,,физика,,
2013,10,6,4,Чётность,Математический кружок,Сергей Дориченко,Ольга Демидова,,Продолжаем занятия в математическом кружке: сегодня в программе _чётность_!,,,,
2013,10,10,3,"Раз, два, три, ..., девять, десять!",Чудеса лингвистики,Илья Иткин,Анастасия Мошина,,,,,,
2013,10,13,3,Полярная звезда,Оглянись вокруг,Максим Прасолов,Александра Будилкина,,Знакомимся с астрономией: почему Полярная звезда полярная и как быстро найти север?,,астрономия,,
2013,10,16,2,Немного физики из яйца,Как это устроено,Константин Богданов,Анастасия Слепцова,,"Помимо желтка и белка, куриное яйцо скрывает в себе множество физических загадок!",,физика,,
2013,10,18,4,Уха из мухи,Математические сюрпризы,Игорь Акулич,Сергей Чуб,,,,арифметика,,
2013,10,22,4,Вирусы,Как это устроено,Анастасия Шунаева,,"Фото, картина: ссылок нет",,,биология,,
2013,10,26,3,Успеть до рассвета,Детективные истории,Борис Дружинин,Артём Костюкевич,,,,,,
2013,10,29,3,"Ответы, указания, решения",Ответы,,,,,,,,
2013,10,32,2,Наш конкурс,Олимпиады,,Лидия Широнина,,,,,,
2013,10,34,1,Червь на книжной полке,Задачи в картинках,Владимир Арнольд,Евгения Константинова,,,,смекалка,,
2013,10,,,,,,,,"Конкурсы, детективы, задачи-картинки ... ужасно интересно!",,,,
2013,9,-1,1,Обложка,,,Евгения Константинова,,,,,,
2013,9,2,4,Если память подвела,Улыбнись,Игорь Акулич,Наталья Гаврилова,,,,арифметика,,
2013,9,6,2,Зачем нужны водонапорные башни,Преданья старины,Сергей Дворянинов,,"Фото: А. Савин; Фото: Антон Акимов, Отальные фото: ссылок нет",Зачем нужны водонапорные башни.,,физика,,
2013,9,8,3,Почему осьминог устроен разумнее человека,Оглянись вокруг,Юлия Кондратенко,Артём Костюкевич,,"Почему осьминог устроен разумнее человека (если до сих пор вы ещё не заинтересовались, то уж на этом месте детектор любопытства должен начать пищать беспрерывно).",,биология,,
2013,9,11,5,Игры,Математический кружок,Сергей Дориченко ; Максим Прасолов,Ольга Демидова,,"(Математические) игры, в которые играют люди.",,логика,,
2013,9,16,2,Головоломки из лего,Игры и головоломки,Георгий Жуков,Татьяна Ахметгалиева,,,,комбигеом,,
2013,9,18,5,Сканирующий зондовый микроскоп,Как это устроено,Анастасия Большакова ; Александр Белецкий,Дарья Котова,Фото: ссылок нет,Сканирующий зондовый микроскоп (и столько примеров этого явления вокруг нас - рукой подать).,,физика,,
2013,9,23,3,Биссектрисы и триссектрисы,Смотри!,Григорий Фельдман,Сергей Чуб,,,,планиметрия,,
2013,9,26,1,В какую сторону крутится Земля?,Оглянись вокруг,Максим Прасолов,,Фото: Robert Knapp,,,физика,,
